epoch: 0 batch_idx:156501, train_loss: 1.0740819698412827
epoch: 0 batch_idx:157001, train_loss: 1.0739076817913242
epoch: 0 batch_idx:157501, train_loss: 1.0738196357010619
epoch: 0 batch_idx:158001, train_loss: 1.0735603628285615
epoch: 0 batch_idx:158501, train_loss: 1.0734396442735632
epoch: 0 batch_idx:159001, train_loss: 1.073235697656712
epoch: 0 batch_idx:159501, train_loss: 1.0731264245998482
epoch: 0 batch_idx:160001, train_loss: 1.0729802587903785
epoch: 0 batch_idx:160501, train_loss: 1.072972320374308
epoch: 0 batch_idx:161001, train_loss: 1.072858872068146
epoch: 0 batch_idx:161501, train_loss: 1.0726675028971797
epoch: 0 batch_idx:162001, train_loss: 1.072444206013447
epoch: 0 batch_idx:162501, train_loss: 1.0722956413441713
epoch: 0 batch_idx:163001, train_loss: 1.0722475504985969
epoch: 0 batch_idx:163501, train_loss: 1.0718511215409408
epoch: 0 batch_idx:164001, train_loss: 1.071740891877782
epoch: 0 batch_idx:164501, train_loss: 1.0716217202091027
epoch: 0 batch_idx:165001, train_loss: 1.0713186961117491
epoch: 0 batch_idx:165501, train_loss: 1.0712856546866396
epoch: 0 batch_idx:166001, train_loss: 1.071032498359078
epoch: 0 batch_idx:166501, train_loss: 1.0708222732259867
epoch: 0 batch_idx:167001, train_loss: 1.070609352200804
epoch: 0 batch_idx:167501, train_loss: 1.0704237854703793
epoch: 0 batch_idx:168001, train_loss: 1.0704279453666936
epoch: 0 batch_idx:168501, train_loss: 1.0702145334924622
epoch: 0 batch_idx:169001, train_loss: 1.070081193071805
epoch: 0 batch_idx:169501, train_loss: 1.0700994319486725
epoch: 0 batch_idx:170001, train_loss: 1.0699288797332984
epoch: 0 batch_idx:170501, train_loss: 1.0697985858391021
epoch: 0 batch_idx:171001, train_loss: 1.0695312300927948
epoch: 0 batch_idx:171501, train_loss: 1.0693318864385237
epoch: 0 batch_idx:172001, train_loss: 1.069050043497393
epoch: 0 batch_idx:172501, train_loss: 1.0688490038014828
epoch: 0 batch_idx:173001, train_loss: 1.0686473262022
epoch: 0 batch_idx:173501, train_loss: 1.0685194855457032
epoch: 0 batch_idx:174001, train_loss: 1.068258168585606
epoch: 0 batch_idx:174501, train_loss: 1.0680650017059605
epoch: 0 batch_idx:175001, train_loss: 1.0679686776094983
epoch: 0 batch_idx:175501, train_loss: 1.0677197919323889
epoch: 0 batch_idx:176001, train_loss: 1.0676874081833276
epoch: 0 batch_idx:176501, train_loss: 1.0674627492897901
epoch: 0 batch_idx:177001, train_loss: 1.0672311906695289
epoch: 0 batch_idx:177501, train_loss: 1.0670812651818473
epoch: 0 batch_idx:178001, train_loss: 1.0669486451244756
epoch: 0 batch_idx:178501, train_loss: 1.0666462994434471
epoch: 0 batch_idx:179001, train_loss: 1.0665572157792458
epoch: 0 batch_idx:179501, train_loss: 1.0663545038932154
epoch: 0 batch_idx:180001, train_loss: 1.0661244857251364
epoch: 0 batch_idx:180501, train_loss: 1.0658826988466321
epoch: 0 batch_idx:181001, train_loss: 1.0657907306132257
epoch: 0 batch_idx:181501, train_loss: 1.0657673971021104
epoch: 0 batch_idx:182001, train_loss: 1.0655039436776377
epoch: 0 batch_idx:182501, train_loss: 1.0652445912864068
epoch: 0 batch_idx:183001, train_loss: 1.0652053282265148
epoch: 0 batch_idx:183501, train_loss: 1.0652090625812194
epoch: 0 batch_idx:184001, train_loss: 1.0651829913741775
epoch: 0 batch_idx:184501, train_loss: 1.0650182448916072
epoch: 0 batch_idx:185001, train_loss: 1.0649667762446566
epoch: 0 batch_idx:185501, train_loss: 1.0646510429337903
epoch: 0 batch_idx:186001, train_loss: 1.0644599804395865
epoch: 0 batch_idx:186501, train_loss: 1.0643559612345166
epoch: 0 batch_idx:187001, train_loss: 1.0642113711751269
epoch: 0 batch_idx:187501, train_loss: 1.0640529306400057
epoch: 0 batch_idx:188001, train_loss: 1.0639230524790242
epoch: 0 batch_idx:188501, train_loss: 1.0637804988718027
epoch: 0 batch_idx:189001, train_loss: 1.0634976588042133
epoch: 0 batch_idx:189501, train_loss: 1.0632812968784926
epoch: 0 batch_idx:190001, train_loss: 1.0630562277671638
epoch: 0 batch_idx:190501, train_loss: 1.0628723382344478
epoch: 0 batch_idx:191001, train_loss: 1.0628269622729205
epoch: 0 batch_idx:191501, train_loss: 1.0627112672678392
epoch: 0 batch_idx:192001, train_loss: 1.0626132977363354
